mood,type,title,artist,film_album,language,energy,valence,tempo,acousticness,danceability
happy,Indian,Badtameez Dil,Pritam,Yeh Jawaani Hai Deewani,Hindi,0.85,0.90,128,0.10,0.88
happy,Indian,Chammak Challo,Akon & Hamsika,Ra.One,Hindi,0.88,0.88,132,0.05,0.90
happy,Indian,Gallan Goodiyaan,Shankar-Ehsaan-Loy,Dil Dhadakne Do,Hindi,0.80,0.87,120,0.15,0.85
happy,Indian,Jai Ho,A.R. Rahman,Slumdog Millionaire,Hindi,0.82,0.85,124,0.12,0.83
happy,Indian,Naatu Naatu,M.M. Keeravaani,RRR,Telugu,0.92,0.93,140,0.08,0.92
happy,Indian,Vaathi Coming,Anirudh Ravichander,Master,Tamil,0.90,0.89,136,0.06,0.91
happy,Indian,Kala Chashma,Badshah,Baar Baar Dekho,Hindi,0.86,0.88,130,0.07,0.89
happy,Indian,Butta Bomma,Armaan Malik,Ala Vaikunthapurramuloo,Telugu,0.75,0.86,118,0.18,0.82
happy,Indian,Seeti Maar,DSP,Radhe,Hindi,0.88,0.87,134,0.09,0.90
happy,Indian,Kusu Kusu,Tanishk Bagchi,Satyameva Jayate 2,Hindi,0.84,0.85,126,0.11,0.86
happy,Western,Happy,Pharrell Williams,G I R L,English,0.85,0.96,160,0.10,0.83
happy,Western,Can't Stop the Feeling,Justin Timberlake,Trolls OST,English,0.80,0.94,113,0.08,0.86
happy,Western,Uptown Funk,Mark Ronson ft. Bruno Mars,Uptown Special,English,0.88,0.90,115,0.06,0.90
happy,Western,Shake It Off,Taylor Swift,1989,English,0.82,0.91,160,0.07,0.87
happy,Western,Dancing Queen,ABBA,Arrival,English,0.78,0.93,102,0.12,0.85
happy,Western,Good as Hell,Lizzo,Cuz I Love You,English,0.75,0.88,95,0.14,0.82
happy,Western,Levitating,Dua Lipa,Future Nostalgia,English,0.83,0.92,103,0.09,0.88
happy,Western,Blinding Lights,The Weeknd,After Hours,English,0.87,0.89,171,0.05,0.84
happy,Western,Watermelon Sugar,Harry Styles,Fine Line,English,0.79,0.91,95,0.13,0.86
happy,Western,As It Was,Harry Styles,Harry's House,English,0.76,0.88,174,0.16,0.80
sad,Indian,Channa Mereya,Arijit Singh,Ae Dil Hai Mushkil,Hindi,0.25,0.15,68,0.72,0.35
sad,Indian,Tum Hi Ho,Arijit Singh,Aashiqui 2,Hindi,0.20,0.12,60,0.78,0.30
sad,Indian,Agar Tum Saath Ho,Alka Yagnik & Arijit,Tamasha,Hindi,0.22,0.14,65,0.75,0.32
sad,Indian,Kabira,Rekha Bhardwaj,Yeh Jawaani Hai Deewani,Hindi,0.28,0.18,72,0.68,0.38
sad,Indian,Nenjukulle,A.R. Rahman,Kadal,Tamil,0.18,0.10,58,0.82,0.28
sad,Indian,Roja Jaaneman,S.P. Balasubrahmanyam,Roja,Tamil,0.15,0.08,55,0.85,0.25
sad,Indian,Kalank,Arijit Singh,Kalank,Hindi,0.23,0.13,62,0.74,0.33
sad,Indian,Ae Dil Hai Mushkil,Arijit Singh,Ae Dil Hai Mushkil,Hindi,0.21,0.11,63,0.76,0.31
sad,Indian,Phir Le Aya Dil,Arijit Singh,Barfi,Hindi,0.19,0.12,59,0.80,0.29
sad,Indian,Judaai,Arijit Singh,Bad Boy,Hindi,0.24,0.16,67,0.71,0.36
sad,Western,Someone Like You,Adele,21,English,0.22,0.14,68,0.80,0.28
sad,Western,The Night We Met,Lord Huron,Strange Trails,English,0.28,0.12,86,0.70,0.32
sad,Western,Skinny Love,Bon Iver,For Emma Forever Ago,English,0.18,0.10,80,0.85,0.24
sad,Western,Fix You,Coldplay,X&Y,English,0.30,0.20,138,0.65,0.36
sad,Western,Let Her Go,Passenger,All the Little Lights,English,0.25,0.15,75,0.75,0.30
sad,Western,Tears in Heaven,Eric Clapton,Rush OST,English,0.20,0.12,78,0.82,0.26
sad,Western,The Scientist,Coldplay,A Rush of Blood,English,0.24,0.13,76,0.78,0.29
sad,Western,Liability,Lorde,Melodrama,English,0.16,0.09,78,0.88,0.22
sad,Western,When the Party's Over,Billie Eilish,Don't Smile at Me,English,0.15,0.08,72,0.90,0.20
sad,Western,Exile,Taylor Swift ft. Bon Iver,Folklore,English,0.19,0.11,74,0.83,0.25
energetic,Indian,Zinda,Siddharth Mahadevan,Bhaag Milkha Bhaag,Hindi,0.95,0.80,145,0.05,0.78
energetic,Indian,Sultan,Sukhwinder Singh,Sultan,Hindi,0.93,0.78,142,0.06,0.76
energetic,Indian,Kar Har Maidaan Fateh,Sukhwinder Singh,Sanju,Hindi,0.92,0.82,138,0.07,0.79
energetic,Indian,Rang De Basanti,A.R. Rahman,Rang De Basanti,Hindi,0.90,0.79,135,0.08,0.77
energetic,Indian,Beast Mode,Anirudh Ravichander,Beast,Tamil,0.96,0.81,150,0.04,0.80
energetic,Indian,Rowdy Baby,Dhanush & Dhee,Maari 2,Tamil,0.88,0.84,132,0.09,0.85
energetic,Indian,Khalibali,Shivam Pathak,Padmaavat,Hindi,0.91,0.77,140,0.06,0.75
energetic,Indian,Simmba Title Track,Arijit & Nikhita,Simmba,Hindi,0.89,0.80,136,0.07,0.78
energetic,Indian,Jai Jai Shivshankar,Vishal-Shekhar,War,Hindi,0.94,0.82,144,0.05,0.81
energetic,Indian,Aankhon Ki Gustakhiyan,Vishal-Shekhar,War,Hindi,0.87,0.79,130,0.10,0.76
energetic,Western,Eye of the Tiger,Survivor,Eye of the Tiger,English,0.92,0.75,109,0.06,0.72
energetic,Western,Thunderstruck,AC/DC,The Razors Edge,English,0.95,0.78,133,0.04,0.70
energetic,Western,Till I Collapse,Eminem,The Eminem Show,English,0.94,0.72,171,0.05,0.74
energetic,Western,Stronger,Kanye West,Graduation,English,0.88,0.76,104,0.07,0.78
energetic,Western,Lose Yourself,Eminem,8 Mile OST,English,0.90,0.70,171,0.06,0.72
energetic,Western,Don't Stop Me Now,Queen,Jazz,English,0.86,0.88,156,0.08,0.80
energetic,Western,Run the World,Beyoncé,4,English,0.89,0.80,128,0.07,0.82
energetic,Western,Power,Kanye West,MBDTF,English,0.91,0.74,90,0.05,0.74
energetic,Western,Believer,Imagine Dragons,Evolve,English,0.87,0.73,125,0.06,0.76
energetic,Western,Radioactive,Imagine Dragons,Night Visions,English,0.85,0.71,136,0.07,0.73
romantic,Indian,Tere Liye,Atif Aslam,Prince,Hindi,0.35,0.75,75,0.55,0.52
romantic,Indian,Kesariya,Arijit Singh,Brahmastra,Hindi,0.40,0.78,80,0.50,0.55
romantic,Indian,Raabta,Arijit Singh,Agent Sai Srinivasa,Hindi,0.38,0.76,78,0.52,0.53
romantic,Indian,Tera Ban Jaunga,Akhil & Tulsi Kumar,Kabir Singh,Hindi,0.42,0.79,82,0.48,0.57
romantic,Indian,Vinnaithaandi Varuvaaya,A.R. Rahman,Vinnaithaandi Varuvaaya,Tamil,0.36,0.74,76,0.54,0.51
romantic,Indian,Yennai Maatrum Kadhali,Sid Sriram,Takkar,Tamil,0.33,0.72,72,0.58,0.49
romantic,Indian,Mere Haath Mein,Udit Narayan,Fanaa,Hindi,0.44,0.80,84,0.46,0.58
romantic,Indian,Ik Vaari Aa,Arijit Singh,Raazi,Hindi,0.37,0.75,77,0.53,0.52
romantic,Indian,Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Rab Ne Bana Di Jodi,Hindi,0.32,0.73,70,0.60,0.48
romantic,Indian,Hawayein,Arijit Singh,Jab Harry Met Sejal,Hindi,0.39,0.77,79,0.51,0.54
romantic,Western,Perfect,Ed Sheeran,Divide,English,0.45,0.82,95,0.48,0.58
romantic,Western,All of Me,John Legend,Love in the Future,English,0.40,0.78,63,0.52,0.53
romantic,Western,A Thousand Years,Christina Perri,The Twilight Saga,English,0.35,0.76,95,0.56,0.50
